"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""condition""}"
12/5/18 13:53,12/5/18 13:54,100,100,TRUE,12/5/18 13:54,75,0,66,75,76,71,13,76,55,70,68,62,77,50,29,60,74,34,49,40,control
12/5/18 13:53,12/5/18 13:55,100,79,TRUE,12/5/18 13:55,69,33,36,74,58,82,37,67,53,87,74,28,68,85,77,72,27,74,84,77,control
12/5/18 13:53,12/5/18 13:55,100,106,TRUE,12/5/18 13:55,4,94,0,23,5,42,60,28,55,31,10,98,20,8,35,11,93,13,35,23,control
12/5/18 13:54,12/5/18 13:56,100,99,TRUE,12/5/18 13:56,35,85,51,51,38,5,96,30,36,9,13,90,51,42,17,23,96,28,26,23,hypocrite
12/5/18 13:54,12/5/18 13:56,100,166,TRUE,12/5/18 13:56,20,24,51,51,20,0,100,22,0,0,14,100,0,11,15,22,85,22,21,22,control
12/5/18 13:52,12/5/18 13:56,100,288,TRUE,12/5/18 13:56,15,75,8,24,14,17,8,22,23,22,18,11,14,23,13,70,65,69,70,65,liar
12/5/18 13:56,12/5/18 13:57,100,44,TRUE,12/5/18 13:57,36,39,65,74,73,61,60,20,41,67,59,54,39,29,74,30,74,56,64,64,control
12/5/18 13:55,12/5/18 13:57,100,84,TRUE,12/5/18 13:57,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,control
12/5/18 13:54,12/5/18 13:57,100,192,TRUE,12/5/18 13:57,0,100,0,0,0,48,57,48,50,44,4,86,10,19,0,17,87,51,16,24,hypocrite
12/5/18 13:53,12/5/18 13:57,100,250,TRUE,12/5/18 13:57,43,45,51,52,44,39,41,53,51,51,46,42,51,52,51,29,25,51,44,51,hypocrite
12/5/18 13:54,12/5/18 13:58,100,216,TRUE,12/5/18 13:58,26,96,19,25,14,28,92,38,29,34,45,61,37,42,38,18,84,25,31,7,hypocrite
12/5/18 13:54,12/5/18 13:58,100,247,TRUE,12/5/18 13:58,35,88,47,44,33,36,89,44,35,15,42,93,43,45,44,42,89,44,48,43,hypocrite
12/5/18 13:54,12/5/18 13:58,100,248,TRUE,12/5/18 13:58,0,100,1,31,2,25,99,51,51,9,1,100,2,3,5,21,100,12,51,33,liar
12/5/18 13:57,12/5/18 13:58,100,107,TRUE,12/5/18 13:58,24,74,17,20,21,30,66,22,25,19,8,10,4,50,15,21,60,20,51,37,control
12/5/18 13:57,12/5/18 13:58,100,115,TRUE,12/5/18 13:58,0,100,100,57,32,0,100,0,0,0,41,100,30,57,0,77,61,77,96,72,control
12/5/18 13:56,12/5/18 13:59,100,150,TRUE,12/5/18 13:59,19,60,10,31,29,32,67,46,52,48,26,89,17,49,37,63,3,56,56,72,liar
12/5/18 13:57,12/5/18 13:59,100,111,TRUE,12/5/18 13:59,48,49,56,50,49,49,48,56,55,53,40,51,28,34,39,43,50,33,38,43,control
12/5/18 13:56,12/5/18 13:59,100,175,TRUE,12/5/18 13:59,34,85,1,53,0,8,91,10,47,43,48,67,51,34,35,48,50,51,53,51,liar
12/5/18 13:58,12/5/18 14:00,100,76,TRUE,12/5/18 14:00,14,91,28,40,13,25,84,36,31,36,41,55,52,46,52,54,64,45,52,39,liar
12/5/18 13:54,12/5/18 14:00,100,360,TRUE,12/5/18 14:00,21,75,23,33,20,34,70,29,33,36,15,53,23,28,12,22,75,26,22,18,liar
12/5/18 13:59,12/5/18 14:01,100,127,TRUE,12/5/18 14:01,76,37,87,80,77,85,45,83,83,65,80,16,80,83,82,75,43,72,80,79,control
12/5/18 14:00,12/5/18 14:01,100,107,TRUE,12/5/18 14:01,36,89,44,40,38,34,87,39,43,37,37,89,45,44,37,20,89,43,43,27,hypocrite
12/5/18 14:00,12/5/18 14:02,100,94,TRUE,12/5/18 14:02,62,53,87,70,5,62,52,99,100,100,13,73,53,66,29,79,53,63,78,72,control
12/5/18 14:01,12/5/18 14:02,100,86,TRUE,12/5/18 14:02,50,93,51,51,51,38,98,2,45,35,48,61,44,46,43,42,95,23,39,48,hypocrite
12/5/18 14:01,12/5/18 14:03,100,106,TRUE,12/5/18 14:03,15,100,24,12,0,31,93,31,26,32,30,76,33,35,33,11,100,12,24,9,hypocrite
12/5/18 14:02,12/5/18 14:03,100,92,TRUE,12/5/18 14:03,67,64,57,39,72,36,51,61,42,58,64,56,37,69,67,64,61,51,60,67,control
